Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"AKI-Detector: A Multi-Agent Framework by Integrating Machine Learning and Large Language Models for Early Prediction of Acute Kidney Injury in ICU.","","Tongyue Shi, Meirong Xiao, Haowei Xu, Huiying Zhao, Guilan Kong",2024,1,"Acute kidney injury (AKI) is a severe condition in the ICU, where early prediction is crucial for timely intervention and prevention. Traditional machine learning (ML) models lack interpretability, which limits real-world applicability. We propose AKI-Detector, a novel multi-agent framework that integrates structured electronic health records (EHR)-based ML models, large language models (LLMs), and retrieval-augmented generation (RAG) to enhance clinical reasoning, accuracy, and interpretability of AKI prediction. The proposed AKI-Detector mitigates LLM hallucinations by integrating ML models and bridges the gap between algorithmic output and clinically interpretable reports. Evaluated on ICU data from MIMIC-IV, AKI-Detector outperformed ML models such as CatBoost and GRU, and achieved an accuracy of 0.827, precision of 0.672, recall of 0.542, and F1-score of 0.600 on the test cohort, demonstrating balanced and reliable predictive performance. This work highlights the promise of real-world big data and LLM-powered multi-agent systems to support trustworthy and explainable AI for clinical prediction.

©2024 AMIA - All rights reserved.","","AMIA ... Annual Symposium proceedings. AMIA Symposium","","","https://consensus.app/papers/akidetector-a-multiagent-framework-by-integrating-shi-xiao/0d787139e9b85097b4fb908ff9c1abe2/"
"Privacy preservation for federated learning in health care","Federated learning in healthcare can improve AI models, but it comes with security and privacy concerns.","Sarthak Pati, Sourav Kumar, Amokh Varma, Brandon Edwards, Charles Lu, Liangqiong Qu, Justin Wang, A. Lakshminarayanan, Shi-Han Wang, Micah J. Sheller, Ken Chang, Praveer Singh, Daniel L. Rubin, Jayashree Kalpathy-Cramer, S. Bakas",2024,175,"","literature review","Patterns","1","10.1016/j.patter.2024.100974","https://consensus.app/papers/privacy-preservation-for-federated-learning-in-health-pati-kumar/cf59c689f15d5f89801600c696b7877e/"
"Machine learning models for predicting acute kidney injury: a systematic review and critical appraisal","Flexible machine learning methods are popular for predicting acute kidney injury, but most studies have a high risk of bias and need improvements in model interpretability and reproducibility.","I. Vagliano, N. Chesnaye, J. Leopold, K. Jager, A. Abu-Hanna, M. Schut",2022,49,"Background: The number of studies applying machine learning (ML) to predict acute kidney injury (AKI) has grown steadily over the past decade. We assess and critically appraise the state of the art in ML models for AKI prediction, considering performance, methodological soundness, and applicability.

Methods: We searched PubMed and ArXiv, extracted data, and critically appraised studies based on the Transparent Reporting of a Multivariable Prediction Model for Individual Prognosis or Diagnosis (TRIPOD), Checklist for Critical Appraisal and Data Extraction for Systematic Reviews of Prediction Modelling Studies (CHARMS), and Prediction Model Risk of Bias Assessment Tool (PROBAST) guidelines.

Results: Forty-six studies from 3166 titles were included. Thirty-eight studies developed a model, five developed and externally validated one, and three studies externally validated one. Flexible ML methods were used more often than deep learning, although the latter was common with temporal variables and text as predictors. Predictive performance showed an area under receiver operating curves ranging from 0.49 to 0.99. Our critical appraisal identified a high risk of bias in 39 studies. Some studies lacked internal validation, whereas external validation and interpretability of results were rarely considered. Fifteen studies focused on AKI prediction in the intensive care setting, and the US-derived Medical Information Mart for Intensive Care (MIMIC) data set was commonly used. Reproducibility was limited as data and code were usually unavailable.

Conclusions: Flexible ML methods are popular for the prediction of AKI, although more complex models based on deep learning are emerging. Our critical appraisal identified a high risk of bias in most models: Studies should use calibration measures and external validation more often, improve model interpretability, and share data and code to improve reproducibility.

© The Author(s) 2022. Published by Oxford University Press on behalf of the ERA.","systematic review","Clinical Kidney Journal","1","10.1093/ckj/sfac181","https://consensus.app/papers/machine-learning-models-for-predicting-acute-kidney-vagliano-chesnaye/13a860aea23f51468a77796dded6585e/"
"Secure and Privacy-Preserving Federated Learning for Healthcare Time Series Data: A Comprehensive Review","","Bishal Das, Pijush Dutta, Anubrata Mandal",2026,0,"A revolutionary method for collaborative health-care analytics, particularly about time series data, is federated learning (FL). Recent studies show that FL can provide strong privacy safeguards while maintaining high model usefulness in healthcare applications, especially when paired with privacy-enhancing technologies like homomorphic encryption, differential privacy, and secure multi-party computation (SMPC). Based on a large collection of foundation research, technologies, and applications, this study incorporates the most recent developments, real-world applications, and current issues in safe and privacy-centered federated learning (FL) for healthcare time-series data. A comprehensive literature search was conducted across over 170 million research papers in Consensus, encompassing databases such as Semantic Scholar, PubMed, and others. A total of 982 papers met the search strategy. Eight unique search groups were executed, focusing on privacy-preserving FL systems for healthcare. The surveyed literature shows that FL systems remain vulnerable to state-of-the-art attacks, including membership inference and model inversion, when the adversaries possess auxiliary information or when model upgrades are not adequately obfuscated. Despite significant progress, areas left uncovered by research are fairness, personalization, and communication efficiency. Understanding these trade-offs is essential for practical, scalable, and sustainable adoption in resource-constrained healthcare settings.","systematic review","2026 Innovations in Machine, Engineering, and Digital Conference (IMED)","","10.1109/imed68921.2026.11484225","https://consensus.app/papers/secure-and-privacypreserving-federated-learning-for-das-dutta/e5dcff4a46c155ef934a00121ab7ae32/"
"A pattern-discovery-based outcome predictive tool integrated with clinical data repository: design and a case study on contrast related acute kidney injury","Our pattern-discovery-based prediction tool, integrated with clinical data repositories and EHR data, effectively predicts contrast-related acute kidney injury, showing user-friendliness and competitive performance compared to existing models.","Yuxi Li, Tak-Ming Chan, Jinghan Feng, Liang Tao, Jie Jiang, B. Zheng, Y. Huo, Jianping Li",2022,7,"Background: Clinical data repositories (CDR) including electronic health record (EHR) data have great potential for outcome prediction and risk modeling. We built a prediction tool integrated with CDR based on pattern discovery and demonstrated a case study on contrast related acute kidney injury (AKI).

Methods: Patients undergoing cardiac catheterization from January 2015 to April 2017 were included. AKI was identified based on Acute Kidney Injury Network definition. Predictive model including 16 variables covered in existing AKI models was built. A visual analytics tool based on pattern discovery was trained on 70% data up to August 2016 with three interactive knowledge incorporation modes to develop 3 models: (1) pure data-driven, (2) domain knowledge, and (3) clinician-interactive, which were tested and compared on 30% consecutive cases dated afterwards.

Results: Among 2560 patients in the final dataset, 189 (7.3%) had AKI. We measured 4 existing models, whose areas under curves (AUCs) of receiver operating characteristics curve for the test dataset were 0.70 (Mehran's), 0.72 (Chen's), 0.67 (Gao's) and 0.62 (AGEF), respectively. A pure data-driven machine learning method achieves AUC of 0.72 (Easy Ensemble). The AUCs of our 3 models are 0.77, 0.80, 0.82, respectively, with the last being top where physician knowledge is incorporated.

Conclusions: We developed a novel pattern-discovery-based outcome prediction tool integrated with CDR and purely using EHR data. On the case of predicting contrast related AKI, the tool showed user-friendliness by physicians, and demonstrated a competitive performance in comparison with the state-of-the-art models.

© 2022. The Author(s).","theoretical, modeling, or simulation study","BMC Medical Informatics and Decision Making","1","10.1186/s12911-022-01841-6","https://consensus.app/papers/a-patterndiscoverybased-outcome-predictive-tool-li-chan/c20abc9be84b53a8aef6e291ec7f6a48/"
"Detection of potential drug-drug interactions for risk of acute kidney injury: a population-based case-control study using interpretable machine-learning models","Combining loop diuretic and histamine Hblocker use is associated with an increased risk of acute kidney injury, despite their relative importance being lower than factors like older age and sex.","Hayato Akimoto, T. Hayakawa, T. Nagashima, Kimino Minagawa, Yasuo Takahashi, S. Asai",2023,9,"Background: Acute kidney injury (AKI), with an increase in serum creatinine, is a common adverse drug event. Although various clinical studies have investigated whether a combination of two nephrotoxic drugs has an increased risk of AKI using traditional statistical models such as multivariable logistic regression (MLR), the evaluation metrics have not been evaluated despite the fact that traditional statistical models may over-fit the data. The aim of the present study was to detect drug-drug interactions with an increased risk of AKI by interpreting machine-learning models to avoid overfitting. Methods: We developed six machine-learning models trained using electronic medical records: MLR, logistic least absolute shrinkage and selection operator regression (LLR), random forest, extreme gradient boosting (XGB) tree, and two support vector machine models (kernel = linear function and radial basis function). In order to detect drug-drug interactions, the XGB and LLR models that showed good predictive performance were interpreted by SHapley Additive exPlanations (SHAP) and relative excess risk due to interaction (RERI), respectively. Results: Among approximately 2.5 million patients, 65,667 patients were extracted from the electronic medical records, and assigned to case (N = 5,319) and control (N = 60,348) groups. In the XGB model, a combination of loop diuretic and histamine H2 blocker [mean (|SHAP|) = 0.011] was identified as a relatively important risk factor for AKI. The combination of loop diuretic and H2 blocker showed a significant synergistic interaction on an additive scale (RERI 1.289, 95% confidence interval 0.226-5.591) also in the LLR model. Conclusion: The present population-based case-control study using interpretable machine-learning models suggested that although the relative importance of the individual and combined effects of loop diuretics and H2 blockers is lower than that of well-known risk factors such as older age and sex, concomitant use of a loop diuretic and histamine H2 blocker is associated with increased risk of AKI.

Copyright © 2023 Akimoto, Hayakawa, Nagashima, Minagawa, Takahashi and Asai.","other","Frontiers in Pharmacology","1","10.3389/fphar.2023.1176096","https://consensus.app/papers/detection-of-potential-drugdrug-interactions-for-risk-of-akimoto-hayakawa/4b0e7276431451fe93f61f045adb5eda/"
"EHR-Safe: generating high-fidelity and privacy-preserving synthetic electronic health records","EHR-Safe is a generative modeling framework that generates high-fidelity and privacy-preserving synthetic electronic health records, addressing privacy concerns and enabling data analytics and machine learning innovations.","Jinsung Yoon, Michel Mizrahi, N. F. Ghalaty, T. Jarvinen, Ashwin S. Ravi, P. Brune, Fanyu Kong, Dave Anderson, George Lee, A. Meir, Farhana Bandukwala, Elli Kanal, Sercan Ö. Arik, Tomas Pfister",2023,88,"Privacy concerns often arise as the key bottleneck for the sharing of data between consumers and data holders, particularly for sensitive data such as Electronic Health Records (EHR). This impedes the application of data analytics and ML-based innovations with tremendous potential. One promising approach for such privacy concerns is to instead use synthetic data. We propose a generative modeling framework, EHR-Safe, for generating highly realistic and privacy-preserving synthetic EHR data. EHR-Safe is based on a two-stage model that consists of sequential encoder-decoder networks and generative adversarial networks. Our innovations focus on the key challenging aspects of real-world EHR data: heterogeneity, sparsity, coexistence of numerical and categorical features with distinct characteristics, and time-varying features with highly-varying sequence lengths. Under numerous evaluations, we demonstrate that the fidelity of EHR-Safe is almost-identical with real data (<3% accuracy difference for the models trained on them) while yielding almost-ideal performance in practical privacy metrics.

© 2023. Springer Nature Limited.","theoretical, modeling, or simulation study","NPJ Digital Medicine","1","10.1038/s41746-023-00888-7","https://consensus.app/papers/ehrsafe-generating-highfidelity-and-privacypreserving-yoon-mizrahi/96ff262c5b1c5b0390dee2aea503404e/"
"Generating synthetic mixed-type longitudinal electronic health records for artificial intelligent applications","EHR-M-GAN effectively synthesizes mixed-type timeseries EHR data, improving AI algorithms in resource-limited settings while preserving patient privacy.","Jin Li, B. Cairns, Jingsong Li, T. Zhu",2021,130,"The recent availability of electronic health records (EHRs) have provided enormous opportunities to develop artificial intelligence (AI) algorithms. However, patient privacy has become a major concern that limits data sharing across hospital settings and subsequently hinders the advances in AI. Synthetic data, which benefits from the development and proliferation of generative models, has served as a promising substitute for real patient EHR data. However, the current generative models are limited as they only generate single type of clinical data for a synthetic patient, i.e., either continuous-valued or discrete-valued. To mimic the nature of clinical decision-making which encompasses various data types/sources, in this study, we propose a generative adversarial network (GAN) entitled EHR-M-GAN that simultaneously synthesizes mixed-type timeseries EHR data. EHR-M-GAN is capable of capturing the multidimensional, heterogeneous, and correlated temporal dynamics in patient trajectories. We have validated EHR-M-GAN on three publicly-available intensive care unit databases with records from a total of 141,488 unique patients, and performed privacy risk evaluation of the proposed model. EHR-M-GAN has demonstrated its superiority over state-of-the-art benchmarks for synthesizing clinical timeseries with high fidelity, while addressing the limitations regarding data types and dimensionality in the current generative models. Notably, prediction models for outcomes of intensive care performed significantly better when training data was augmented with the addition of EHR-M-GAN-generated timeseries. EHR-M-GAN may have use in developing AI algorithms in resource-limited settings, lowering the barrier for data acquisition while preserving patient privacy.

© 2023. The Author(s).","theoretical, modeling, or simulation study","NPJ Digital Medicine","1","10.1038/s41746-023-00834-7","https://consensus.app/papers/generating-synthetic-mixedtype-longitudinal-electronic-li-cairns/b54ac4b54be659b8b9780cdf2dd5935f/"
"Privacy preserving Generative Adversarial Networks to model Electronic Health Records","The privacy-preserving Generative Adversarial Network (pGAN) effectively generates high-quality synthetic data from Electronic Health Records, preserving privacy while maintaining high utility for machine learning.","Rohit Venugopal, Noman Shafqat, Ishwar Venugopal, Benjamin Mark John Tillbury, Harry Demetrios Stafford, Aikaterini Bourazeri",2022,69,"","","Neural networks : the official journal of the International Neural Network Society","1","10.1016/j.neunet.2022.06.022","https://consensus.app/papers/privacy-preserving-generative-adversarial-networks-to-venugopal-shafqat/1e8e471f329954bfbe39317700bc61db/"
"The urgent need to accelerate synthetic data privacy frameworks for medical research.","Synthetic data privacy frameworks are crucial for medical research, preserving privacy while enabling dataset sharing and dataset sharing between organizations.","Anmol Arora, Siegfried K. Wagner, Robin Carpenter, R. Jena, P. Keane",2024,22,"","other","The Lancet. Digital health","1","10.1016/s2589-7500(24)00196-1","https://consensus.app/papers/the-urgent-need-to-accelerate-synthetic-data-privacy-arora-wagner/c8265af154b55a7eab3a1a4868fd4e1d/"
"Synthetic Health Data: Real Ethical Promise and Peril","Synthetic health data holds promise but raises ethical concerns, including privacy, security, accuracy, fairness, and bias, and requires data subjects' involvement for responsible use.","Daniel Susser, Danielle Schiff, Sara Gerke, Laura Y Cabrera, I. G. Cohen, Megan Doerr, Jordan Harrod, K. Kostick-Quenet, Jasmine E. McNealy, Michelle N. Meyer, W. Price, Jennifer K. Wagner",2024,25,"Researchers and practitioners are increasingly using machine-generated synthetic data as a tool for advancing health science and practice, by expanding access to health data while-potentially-mitigating privacy and related ethical concerns around data sharing. While using synthetic data in this way holds promise, we argue that it also raises significant ethical, legal, and policy concerns, including persistent privacy and security problems, accuracy and reliability issues, worries about fairness and bias, and new regulatory challenges. The virtue of synthetic data is often understood to be its detachment from the data subjects whose measurement data is used to generate it. However, we argue that addressing the ethical issues synthetic data raises might require bringing data subjects back into the picture, finding ways that researchers and data subjects can be more meaningfully engaged in the construction and evaluation of datasets and in the creation of institutional safeguards that promote responsible use.

© 2024 The Hastings Center.","other","The Hastings Center Report","1","10.1002/hast.4911","https://consensus.app/papers/synthetic-health-data-real-ethical-promise-and-peril-susser-schiff/41354a90686655e29f4bb6e24ddf4ac9/"
"Synthetic Data–Driven Early Prediction Framework for Acute Kidney Injury in Patients Receiving Vancomycin and Ceftazidime/Avibactam","Combining vancomycin and ceftazidime/avibactam increases the risk of acute kidney injury, but synthetic data and machine learning models significantly improve early AKI prediction.","Maryam Ramazani, Todd Brothers, Imtiaz Ahmed, Mohammad A Al-Mamun",2025,1,"Background: The nephrotoxic risks of combining ceftazidime/avibactam (AVI) with vancomycin (VAN) remain underexplored, despite both agents independently being linked to acute kidney injury (AKI). This study assessed the risk of AKI associated with concurrent VAN and ceftazidime/avibactam (VAN-AVI) therapy and developed synthetic data models to enable early prediction of AKI.

Methods: We conducted a retrospective analysis using electronic health record data from hospitalized adults between 2015 and 2022. The incidence of AKI was compared among patients receiving VAN-AVI or VAN in combination with piperacillin/tazobactam (VAN-TPZ) versus VAN monotherapy. AKI was defined as a composite of de novo and recurrent AKI (i.e., patients had a prior diagnosis of AKI within the preceding 6 months and experienced a new AKI event after 7 days of VAN-AVI initiation). To address sample size imbalance, we applied inverse probability of treatment weighting (IPTW) and generated synthetic datasets using Conditional Tabular Generative Adversarial Networks (CTGAN) and Tabular Variational Autoencoders (TVAE). These synthetic datasets were subsequently used to augment machine learning (ML) models aimed at the early prediction of AKI in patients treated with VAN-AVI combination therapy.

Results: Among the 92 patients receiving VAN-AVI combination therapy, only four (4.3%) patients experienced new-onset AKI, and 66 (71.7%) patients had a recurrent AKI. After applying IPTW, VAN-AVI was associated with a higher risk of AKI Hazard Ratio (HR) = 3.47; 95% Confidence Interval (CI): 1.97-6.11, followed by VAN-TPZ (HR = 1.96; 95% CI: 1.37-2.81), compared to VAN alone. Synthetic data analyses conducted over 1000 iterations supported these findings, with mean HRs for VAN-AVI of 3.80 using TVAE and 4.45 using CTGAN. ML models augmented with synthetic data outperformed those using original data alone. For 30-day AKI prediction, F1-scores improved across all models, with the highest performance observed in the augmented XGBoost and logistic regression classifier (F1 = 0.80).

Conclusion: This study introduces a novel approach that integrates IPTW with synthetic data generation to evaluate drug-associated AKI risk in small-sample cohorts. Although our findings demonstrate a lower incidence of de novo AKI in the VAN-AVI group, the use of synthetic data and augmented ML models significantly improved early AKI prediction. These findings support the potential utility of synthetic data frameworks for scalable drug safety evaluations, although further validation is warranted.

© 2025 ACCP Foundation, Ltd.","theoretical, modeling, or simulation study","Pharmacotherapy: The Journal of Human Pharmacology and Drug Therapy","1","10.1002/phar.70064","https://consensus.app/papers/synthetic-datadriven-early-prediction-framework-for-ramazani-brothers/ab453bad8f975df3bdcf2e13884aa087/"
"Leveraging Large Language Models for Predicting Postoperative Acute Kidney Injury in Elderly Patients","Large language models (LLMs) can enhance generalization and interpretability in postoperative acute kidney injury prediction for elderly patients, offering more robust and transparent solutions in clinical settings.","Hanfei Zhu, Ruojiang Wang, Jiajie Qian, Yuhao Wu, Zhuqing Jin, Xisheng Shan, Fuhai Ji, Zixuan Yuan, Tingrui Pan",2025,7,"Objective: The objective of this work is to develop a framework based on large language models (LLMs) to predict postoperative acute kidney injury (AKI) outcomes in elderly patients. Impact Statement: Our study demonstrates that LLMs have the potential to address the issues of poor generalization and weak interpretability commonly encountered in disease prediction using traditional machine learning (ML) models. Introduction: AKI is a severe postoperative complication, especially in elderly patients with declining renal function. Current AKI prediction models rely on ML, but their lack of interpretability and generalizability limits clinical use. LLMs, with extensive pretraining and text generation capabilities, offer a new solution. Methods: We applied prompt engineering and knowledge distillation based on instruction fine-tuning to optimize LLMs for AKI prediction. The framework was tested on 2,649 samples from 2 private Chinese hospitals and one public South Korean dataset, which were divided into internal and external datasets. Results: The LLM framework showed robust external performance, with accuracy rates: commercial LLMs (internal: 63.73%, external: 68.73%), open-source LLMs (internal: 63.70%, external: 64.24%), and ML models (internal: 63.93%, external: 58.27%). LLMs also provided human-readable explanations for better clinical understanding. Conclusion: The proposed framework showcases the potential of LLMs to enhance generalization and interpretability in postoperative AKI prediction, paving the way for more robust and transparent predictive solutions in clinical settings.

Copyright © 2025 Hanfei Zhu et al.","theoretical, modeling, or simulation study","BME Frontiers","","10.34133/bmef.0111","https://consensus.app/papers/leveraging-large-language-models-for-predicting-zhu-wang/4f0c26d53f1555aa95d775e3a9299335/"
"GenAI exceeds clinical experts in predicting acute kidney injury following paediatric cardiopulmonary bypass","Large language models (LLMs) can accurately predict acute kidney injury in paediatric cardiopulmonary bypass patients using electronic health record text, improving discriminative performance by 23% compared to a baseline model.","M. Sharabiani, Alireza S Mahani, A. Bottle, Y. Srinivasan, R. Issitt, S. Stoica",2025,4,"The emergence of large language models (LLMs) opens new horizons to leverage, often unused, information in clinical text. Our study aims to capitalise on this new potential. Specifically, we examine the utility of text embeddings generated by LLMs in predicting postoperative acute kidney injury (AKI) in paediatric cardiopulmonary bypass (CPB) patients using electronic health record (EHR) text, and propose methods for explaining their output. AKI could be a serious complication in paediatric CPB and its accurate prediction can significantly improve patient outcomes by enabling timely interventions. We evaluate various text embedding algorithms such as Doc2Vec, top-performing sentence transformers on Hugging Face, and commercial LLMs from Google and OpenAI. We benchmark the cross-validated performance of these 'AI models' against a 'baseline model' as well as an established clinically-defined 'expert model'. The baseline model includes structured features, i.e., patient gender, age, height, body mass index and length of operation. The majority of AI models surpass, not only the baseline model, but also the expert model. An ensemble of AI and clinical-expert models improves discriminative performance by 23% compared to the baseline model. Consistency of patient clusters formed from AI-generated embeddings with clinical-expert clusters-measured via the adjusted rand index and adjusted mutual information metrics-illustrates the medical validity of LLM embeddings. We create a reverse mapping from the numeric embedding space to the natural-language domain via the embedding-based clusters, generating medical labels for the clusters in the process. We also use text-generating LLMs to summarise the differences between AI and expert clusters. Such 'explainability' outputs can increase medical practitioners' trust in the AI applications, and help generate new hypotheses, e.g., by studying the association of cluster memberships and outcomes of interest.

© 2025. The Author(s).","theoretical, modeling, or simulation study","Scientific Reports","1","10.1038/s41598-025-04651-8","https://consensus.app/papers/genai-exceeds-clinical-experts-in-predicting-acute-kidney-sharabiani-mahani/4926dc8c1736578388e4805486b5a888/"
"Human-AI Co-design for Clinical Prediction Models","HACHI, an AI-based framework, accelerates the development of clinical prediction models by exploring concepts in clinical notes, improving model generalizability and enhancing clinical AI team collaboration.","Jean Feng, Avni Kothari, Patrick Vossler, Andrew M. Bishara, Luke Zier, N. Addo, Aaron Kornblith, Y. Tan, Chandan Singh",2026,6,"Developing safe, effective, and practically useful clinical prediction models (CPMs) traditionally requires extensive collaboration between clinical experts, data scientists, and informaticists to refine the many small but critical details of the model building process. When incorporating unstructured clinical notes, this challenge magnifies, as notes essentially contain an infinite number of concepts that can be used for modeling. We introduce HACHI, an iterative human-in-the-loop framework that uses AI agents to accelerate the development of fully interpretable CPMs from clinical notes, where CPMs are defined as linear models of yes-no questions. HACHI alternates between an AI agent that uses statistical tools and embedded knowledge to explore candidate concepts and domain experts who provide feedback to the AI agent. The framework optimizes for transparency, steerability, and reciprocal learning to ensure effective collaboration between the clinical AI team and the AI agent. In two real-world prediction tasks (acute kidney injury and traumatic brain injury), HACHI outperforms existing approaches, discovers clinically relevant concepts, and improves model generalizability across clinical sites and time periods. HACHI also highlights the critical role of human oversight, such as in directing the AI agent to explore new concept categories, adjusting concept granularity, and identifying data bias and leakage.

© 2026. The Author(s).","theoretical, modeling, or simulation study","NPJ digital medicine","1","10.1038/s41746-026-02838-5","https://consensus.app/papers/humanai-codesign-for-clinical-prediction-models-feng-kothari/e32374ebf4625053bb640ffc351b1f24/"
"The Development of a Machine Learning Inpatient Acute Kidney Injury Prediction Model*","A machine learning algorithm using electronic health record data can accurately predict stage 2 acute kidney injury in hospitalized patients, allowing early interventions for those at high risk.","J. Koyner, K. Carey, D. Edelson, M. Churpek",2018,264,"Objectives: To develop an acute kidney injury risk prediction model using electronic health record data for longitudinal use in hospitalized patients.

Design: Observational cohort study.

Setting: Tertiary, urban, academic medical center from November 2008 to January 2016.

Patients: All adult inpatients without pre-existing renal failure at admission, defined as first serum creatinine greater than or equal to 3.0 mg/dL, International Classification of Diseases, 9th Edition, code for chronic kidney disease stage 4 or higher or having received renal replacement therapy within 48 hours of first serum creatinine measurement.

Interventions: None.

Measurements and main results: Demographics, vital signs, diagnostics, and interventions were used in a Gradient Boosting Machine algorithm to predict serum creatinine-based Kidney Disease Improving Global Outcomes stage 2 acute kidney injury, with 60% of the data used for derivation and 40% for validation. Area under the receiver operator characteristic curve (AUC) was calculated in the validation cohort, and subgroup analyses were conducted across admission serum creatinine, acute kidney injury severity, and hospital location. Among the 121,158 included patients, 17,482 (14.4%) developed any Kidney Disease Improving Global Outcomes acute kidney injury, with 4,251 (3.5%) developing stage 2. The AUC (95% CI) was 0.90 (0.90-0.90) for predicting stage 2 acute kidney injury within 24 hours and 0.87 (0.87-0.87) within 48 hours. The AUC was 0.96 (0.96-0.96) for receipt of renal replacement therapy (n = 821) in the next 48 hours. Accuracy was similar across hospital settings (ICU, wards, and emergency department) and admitting serum creatinine groupings. At a probability threshold of greater than or equal to 0.022, the algorithm had a sensitivity of 84% and a specificity of 85% for stage 2 acute kidney injury and predicted the development of stage 2 a median of 41 hours (interquartile range, 12-141 hr) prior to the development of stage 2 acute kidney injury.

Conclusions: Readily available electronic health record data can be used to predict impending acute kidney injury prior to changes in serum creatinine with excellent accuracy across different patient locations and admission serum creatinine. Real-time use of this model would allow early interventions for those at high risk of acute kidney injury.","theoretical, modeling, or simulation study","Critical Care Medicine","1","10.1097/ccm.0000000000003123","https://consensus.app/papers/the-development-of-a-machine-learning-inpatient-acute-koyner-carey/251ccb68b4e0515fb1b2a9f504e79aa1/"
"Enhancing Acute Kidney Injury Prediction through Integration of Drug Features in Intensive Care Units","Using patient prescription data and machine learning models to integrate drug features significantly improves acute kidney injury prediction in ICUs.","Gabriel D. M. Manalu, Mulomba Mukendi Christian, Songhee You, Hyebong Choi",2024,2,"The relationship between acute kidney injury (AKI) prediction and nephrotoxic drugs, or drugs that adversely affect kidney function, is one that has yet to be explored in the critical care setting. One contributing factor to this gap in research is the limited investigation of drug modalities in the intensive care unit (ICU) context, due to the challenges of processing prescription data into the corresponding drug representations and a lack in the comprehensive understanding of these drug representations. This study addresses this gap by proposing a novel approach that leverages patient prescription data as a modality to improve existing models for AKI prediction. We base our research on Electronic Health Record (EHR) data, extracting the relevant patient prescription information and converting it into the selected drug representation for our research, the extended-connectivity fingerprint (ECFP). Furthermore, we adopt a unique multimodal approach, developing machine learning models and 1D Convolutional Neural Networks (CNN) applied to clinical drug representations, establishing a procedure which has not been used by any previous studies predicting AKI. The findings showcase a notable improvement in AKI prediction through the integration of drug embeddings and other patient cohort features. By using drug features represented as ECFP molecular fingerprints along with common cohort features such as demographics and lab test values, we achieved a considerable improvement in model performance for the AKI prediction task over the baseline model which does not include the drug representations as features, indicating that our distinct approach enhances existing baseline techniques and highlights the relevance of drug data in predicting AKI in the ICU setting","theoretical, modeling, or simulation study","ArXiv","","10.7236/ijasc.2023.12.4.434","https://consensus.app/papers/enhancing-acute-kidney-injury-prediction-through-manalu-christian/b777568baf9752bd80eb0bd8cdd63f60/"
"Privacy-Preserving Federated Learning Framework for Multi-Source Electronic Health Records Prognosis Prediction","MultiProg enables secure knowledge sharing across medical institutions without compromising sensitive patient data, improving clinical representation learning model performance.","Huiya Zhao, Dehao Sui, Yasha Wang, Liantao Ma, Ling Wang",2025,23,"Secure and privacy-preserving health status representation learning has become a critical challenge in clinical prediction systems. While deep learning models require substantial high-quality data for training, electronic health records are often restricted by strict privacy regulations and institutional policies, particularly during emerging health crises. Traditional approaches to data integration across medical institutions face significant privacy and security challenges, as healthcare providers cannot directly share patient data. This work presents MultiProg, a secure federated learning framework for clinical representation learning. Our approach enables multiple medical institutions to collaborate without exchanging raw patient data, maintaining data locality while improving model performance. The framework employs a multi-channel architecture where institutions share only the low-level feature extraction layers, protecting sensitive patient information. We introduce a feature calibration mechanism that ensures robust performance even with heterogeneous feature sets across different institutions. Through extensive experiments, we demonstrate that the framework successfully enables secure knowledge sharing across institutions without compromising sensitive patient data, achieving enhanced predictive capabilities compared to isolated institutional models. Compared to state-of-the-art methods, our approach achieves the best performance across multiple datasets with statistically significant improvements.","theoretical, modeling, or simulation study","Sensors (Basel, Switzerland)","1","10.3390/s25082374","https://consensus.app/papers/privacypreserving-federated-learning-framework-for-zhao-sui/78ae0857ba655d49a0b7f3f06c340bef/"
